sentence1,sentence2,label,idx,label_ok,CosCls,EucCls,IcmCls,CosAvg,EucAvg,IcmAvg,CosSum,EucSum,IcmSum,CosF_ind,EucF_ind,IcmF_ind,CosF_joint,EucF_joint,IcmF_joint,CosF_inf,EucF_inf,IcmF_inf,model
A man with a hard hat is dancing.,A man wearing a hard hat is dancing.,5.0,0,1.0,0.9999998211860657,1.0,0.7783884833913426,0.9903048872947693,0.7816597078868948,0.6491721076347142,0.9903049468994141,0.9250095991869911,0.07581920228312103,0.9966145753860474,0.9069609281527033,0.24560669512513966,0.9992575645446777,0.9672367859233993,0.3286827234549779,0.9986541271209717,0.9482967390712849,0.2261713919178697,glove-twitter-200
A young child is riding a horse.,A child is riding a horse.,4.75,1,0.9500000000000001,0.6111611723899841,0.4681878452297842,0.4767394565698558,0.9913901090621948,0.8038879541564793,0.5796080489595977,0.9913902282714844,0.9268284563881978,0.04534647147804619,0.9970225691795349,0.901733188751998,0.17436082433337052,0.999197781085968,0.9653268158985115,0.2981530738568115,0.9986166954040527,0.9373058704000146,0.17718311110864246,glove-twitter-200
A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.,5.0,2,1.0,0.9999998211860657,1.0,0.7783884833913426,0.9665171504020691,0.6108859495670333,0.5869489684947612,0.9665172696113586,0.8515069129368448,0.08958270865177916,0.9698761105537415,0.7105552667134571,0.26905901674995464,0.974810004234314,0.8149129079160642,0.32564561018186894,0.9718638062477112,0.7738464748785541,0.24217291713146696,glove-twitter-200
A woman is playing the guitar.,A man is playing guitar.,2.4000000953674316,3,0.48000001907348633,0.6613607406616211,0.47900329020713395,0.5398933467102289,0.9800597429275513,0.6913089583000791,0.6510024060247753,0.9800598621368408,0.8995783927638854,0.03457837430260506,0.9860467910766602,0.8211358471820526,0.14557819707901776,0.9900392889976501,0.8887286246193803,0.27198459254681,0.988831102848053,0.8749970489172655,0.1397683450702161,glove-twitter-200
A woman is playing the flute.,A man is playing a flute.,2.75,4,0.55,0.6613607406616211,0.47900329020713395,0.5398933467102289,0.9726467132568359,0.6507445064472503,0.580538774872754,0.9726467132568359,0.9067023718436026,0.03847505650653436,0.9714486598968506,0.7660307609965425,0.15753923877676956,0.9730567932128906,0.808284626290545,0.32309020975547836,0.9715678095817566,0.7993281004340806,0.15614399917217972,glove-twitter-200
A woman is cutting an onion.,A man is cutting onions.,2.615000009536743,5,0.5230000019073486,0.6613607406616211,0.47900329020713395,0.5398933467102289,0.9562281966209412,0.5856664341870261,0.4490030492275989,0.9562282562255859,0.8821652947704313,0.025897780996491176,0.9462742805480957,0.6879996755678446,0.12725306302730627,0.9359521865844727,0.6932606045118533,0.3528029939315677,0.9374232292175293,0.6977605531603912,0.15253375440255248,glove-twitter-200
A man is erasing a chalk board.,The man is erasing the chalk board.,5.0,6,1.0,0.9999998211860657,1.0,0.7783884833913426,0.9405772686004639,0.5136074369587916,0.4197694264802032,0.9405772686004639,0.8515069129368448,0.04278612243076189,0.9584954977035522,0.697276830715894,0.19144922628695177,0.9736781120300293,0.7853719572708462,0.4733468166943507,0.9683037996292114,0.7570365026506035,0.2348161375991998,glove-twitter-200
A woman is carrying a boy.,A woman is carrying her baby.,2.3329999446868896,7,0.466599988937378,1.0000001192092896,1.0,0.7112755250540708,0.9671754240989685,0.6113929420474815,0.6069521953921756,0.9671754240989685,0.8961902695654943,0.03979931430990597,0.9515752792358398,0.694679975058174,0.15230222498994261,0.9468042254447937,0.7388600869863009,0.2432053885617687,0.9455019235610962,0.7216696057483314,0.14663998365754408,glove-twitter-200
Three men are playing guitars.,Three men are on stage playing guitars.,3.75,8,0.75,1.0,1.0,0.808492909278256,0.9742406606674194,0.6852981546336161,0.44797995133533974,0.9742406606674194,0.8623050880607384,0.030975531633936265,0.9734365940093994,0.7362520892802749,0.1405144488223713,0.9801308512687683,0.8315126676462528,0.3542797254765622,0.9767459630966187,0.8009521402845575,0.15566155831200781,glove-twitter-200
A woman peels a potato.,A woman is peeling a potato.,5.0,9,1.0,1.0000001192092896,1.0,0.7112755250540708,0.9568511247634888,0.5915997184370818,0.41862572805852605,0.956851065158844,0.8790246234522713,0.024592364485759313,0.9625248312950134,0.7339062122182759,0.13393668318035173,0.9694049954414368,0.7802547783955279,0.42640071518837147,0.966294527053833,0.7711552054679549,0.18451597560439983,glove-twitter-200
People are playing cricket.,Men are playing cricket.,3.200000047683716,10,0.6400000095367432,1.0,1.0,0.9381591544853622,0.9632987976074219,0.5926822277321686,0.551334537025927,0.9632988572120667,0.9222800277338645,0.0139860307204359,0.9775857329368591,0.8279105151150449,0.08129134301022146,0.9862654209136963,0.8647744430555067,0.2738712973642144,0.9847700595855713,0.8630601996088753,0.10108302200070213,glove-twitter-200
A man is playing a guitar.,A man is playing a flute.,1.5829999446868896,11,0.31659998893737795,0.9999998211860657,1.0,0.7783884833913426,0.9871730804443359,0.745018981644844,0.6495874414376618,0.9871729016304016,0.9318861880977405,0.04193686564119546,0.9693674445152283,0.7550518090478299,0.16165731166992564,0.948176383972168,0.7355283705734893,0.2926603977315579,0.9540030360221863,0.7445971282187607,0.15157689579123132,glove-twitter-200
The cougar is chasing the bear.,A cougar is chasing a bear.,5.0,12,1.0,0.9999998807907104,1.0,0.5876180266146565,0.9254299402236938,0.44412281878520843,0.451895081212519,0.9254299402236938,0.8515069129368448,0.03202544150880662,0.9420826435089111,0.6734352870704463,0.14047300496813597,0.9597530364990234,0.7668695412891511,0.2833590860010337,0.9531740546226501,0.7359096718431413,0.1590009460068421,glove-twitter-200
The man cut down a tree with an axe.,A man chops down a tree with an axe.,5.0,13,1.0,0.9999998211860657,1.0,0.7783884833913426,0.9803671836853027,0.7028210801335153,0.5228915177491602,0.9803671836853027,0.8865910620039391,0.08302848661914726,0.9949278235435486,0.8834589845528685,0.26310120367954515,0.9990867972373962,0.9600757282055796,0.37744185875397557,0.998034656047821,0.9299463053447532,0.2576193563471073,glove-twitter-200
The man is playing the guitar.,A man is playing a guitar.,4.908999919891357,14,0.9817999839782715,0.9999998211860657,1.0,0.7783884833913426,0.9418274760246277,0.44412281878520843,0.7039580100654169,0.9418274164199829,0.8515069232220553,0.04466275526553803,0.9537985920906067,0.6966498503647458,0.16250852958230477,0.9685302376747131,0.7992143507349636,0.24830533650459036,0.9641019105911255,0.7767232345944333,0.13446771866083615,glove-twitter-200
A man is finding something.,A woman is slicing something.,0.800000011920929,15,0.1600000023841858,0.6613607406616211,0.47900329020713395,0.5398933467102289,0.9558696150779724,0.530476787196501,0.5372234588367879,0.9558696746826172,0.8924927878046696,0.024019321937132937,0.9545089602470398,0.7308512408892072,0.11039933689833224,0.9552050828933716,0.7560704579186897,0.2254916460185456,0.9530996084213257,0.7548560213951138,0.11626516149026986,glove-twitter-200
The girl sang into a microphone.,The lady sang into the microphone.,2.4000000953674316,16,0.48000001907348633,0.7127023935317993,0.539149063969679,0.5297999361727417,0.971216082572937,0.6575679332528515,0.49565872104396935,0.9712161421775818,0.9085251271396015,0.03421956126007835,0.969877302646637,0.7642245737828985,0.14733969039606132,0.9721395373344421,0.7994292464782728,0.34084934137552353,0.9702740907669067,0.7901547187753903,0.1646603493940547,glove-twitter-200
A man is climbing a rope.,A man climbs a rope.,5.0,17,1.0,0.9999998211860657,1.0,0.7783884833913426,0.9666873216629028,0.6318723523042874,0.4397859173952354,0.9666872620582581,0.8841241851130546,0.02550169070145806,0.9724347591400146,0.7651124197653568,0.13287349722183173,0.9790369868278503,0.8231726595734423,0.3997905756273073,0.9764771461486816,0.8126648843700861,0.1716094161264697,glove-twitter-200
Kittens are eating food.,Kittens are eating from dishes.,4.0,18,0.8,1.0,1.0,0.9381591544853622,0.9625910520553589,0.6064049836663457,0.48012254319784453,0.9625910520553589,0.9091684670584865,0.016597010730707455,0.9479889273643494,0.718311265862436,0.08934689504316935,0.9394935965538025,0.7165658848637442,0.2610758544827117,0.9407643675804138,0.7200365060738594,0.11439693426718209,glove-twitter-200
A man is speaking.,A man is spitting.,0.6359999775886536,19,0.12719999551773073,0.9999998211860657,1.0,0.7783884833913426,0.9666624069213867,0.6068379604328231,0.5937490562141311,0.9666625261306763,0.9249810680129705,0.015070968473632264,0.9474689364433289,0.7349058577570099,0.07813426027981617,0.931669294834137,0.7102243100913668,0.20787369420178686,0.9329761266708374,0.7250737387042882,0.08419183171384823,glove-twitter-200
