sentence1,sentence2,label,idx,label_ok,CosCls,EucCls,IcmCls,CosAvg,EucAvg,IcmAvg,CosSum,EucSum,IcmSum,CosF_ind,EucF_ind,IcmF_ind,CosF_joint,EucF_joint,IcmF_joint,CosF_inf,EucF_inf,IcmF_inf,model
A man with a hard hat is dancing.,A man wearing a hard hat is dancing.,5.0,0,1.0,0.9999999403953552,1.0,0.5740782894762886,0.978013277053833,0.8108617399302075,0.5337200914072107,0.978013277053833,0.9065963899872208,0.06936747010886975,0.9906044602394104,0.8887569718708449,0.18762512556919408,0.9967548847198486,0.9467174962069357,0.34594548382884516,0.9950743317604065,0.9267038026386606,0.189553890692209,glove-wiki-gigaword-300
A young child is riding a horse.,A child is riding a horse.,4.75,1,0.9500000000000001,0.5202349424362183,0.4476098650008222,0.3895166120256282,0.9865714311599731,0.8434761900209085,0.6126711581867842,0.9865712523460388,0.9228426223895224,0.05102666887810879,0.9948678612709045,0.9093917724921239,0.1539375718772396,0.9980576634407043,0.9588678019914914,0.3004803724483118,0.9973143935203552,0.9408679592585094,0.16314582171225864,glove-wiki-gigaword-300
A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.,5.0,2,1.0,0.9999999403953552,1.0,0.5740782894762886,0.9565788507461548,0.7390878178604054,0.4623551685530153,0.9565789103507996,0.8568352403820299,0.07804230414418109,0.9629457592964172,0.7665530462054053,0.2145636836412539,0.9685693979263306,0.8329569466015029,0.4084221244779611,0.9659099578857422,0.8009320448966606,0.23622651419785287,glove-wiki-gigaword-300
A woman is playing the guitar.,A man is playing guitar.,2.4000000953674316,3,0.48000001907348633,0.6998662948608398,0.5692522217802776,0.464702756332639,0.9708130359649658,0.7723617493243706,0.5789611968561743,0.9708129167556763,0.9101907362652818,0.03378998702701134,0.9769556522369385,0.8450166028629822,0.11314095925551497,0.9808685779571533,0.8830397167918158,0.28293479201126315,0.9794236421585083,0.8674900582892743,0.12655105856258217,glove-wiki-gigaword-300
A woman is playing the flute.,A man is playing a flute.,2.75,4,0.55,0.6998662948608398,0.5692522217802776,0.464702756332639,0.9658352136611938,0.7561732992979281,0.5421925941164332,0.9658352136611938,0.9063471180323782,0.038581066473609586,0.9678188562393188,0.8191832858335825,0.12526072468855132,0.9705936312675476,0.8500655963186915,0.3193289417878604,0.9688559174537659,0.8391971818713962,0.1422210778322227,glove-wiki-gigaword-300
A woman is cutting an onion.,A man is cutting onions.,2.615000009536743,5,0.5230000019073486,0.6998662948608398,0.5692522217802776,0.464702756332639,0.9232692718505859,0.6622990107668227,0.4326234854045765,0.923269510269165,0.8672037409862412,0.025222258644296384,0.9050579071044922,0.6872703353936047,0.10515897995253091,0.8893724083900452,0.6823738083918467,0.3691223450546989,0.892957866191864,0.6861184612433153,0.14397485969533036,glove-wiki-gigaword-300
A man is erasing a chalk board.,The man is erasing the chalk board.,5.0,6,1.0,0.9999999403953552,1.0,0.5740782894762886,0.9155784249305725,0.6738597792738523,0.3312362241271656,0.9155784249305725,0.8568352403820299,0.03464006836899237,0.9406803846359253,0.7429565929530635,0.13641989879535227,0.9582180976867676,0.8044755672433597,0.41461103129557086,0.9521100521087646,0.7810543945146255,0.18559970541591833,glove-wiki-gigaword-300
A woman is carrying a boy.,A woman is carrying her baby.,2.3329999446868896,7,0.466599988937378,0.9999999403953552,1.0,0.634538405288521,0.9397696256637573,0.6628907318742401,0.6131456674762478,0.9397696256637573,0.8705176799533302,0.04342755329247421,0.9084210991859436,0.692719347017548,0.11462440087957541,0.8907091021537781,0.7271867088445001,0.2028406095072127,0.8933414220809937,0.7109779688566573,0.11000506728728879,glove-wiki-gigaword-300
Three men are playing guitars.,Three men are on stage playing guitars.,3.75,8,0.75,0.9999999403953552,1.0,0.6507886237301401,0.9661264419555664,0.7641123955483007,0.5217307561318363,0.9661264419555664,0.8750898923604865,0.036219965689386506,0.9649007320404053,0.7827906867104785,0.1300630809251328,0.969584047794342,0.8388069401025425,0.3589809573597116,0.9672168493270874,0.8153062684422503,0.15610307935839368,glove-wiki-gigaword-300
A woman peels a potato.,A woman is peeling a potato.,5.0,9,1.0,0.9999999403953552,1.0,0.634538405288521,0.9495875239372253,0.7255268708086885,0.4555566953801625,0.9495876431465149,0.8889074876822577,0.02656494583584828,0.953018307685852,0.7804773093631322,0.11563493169404084,0.9577595591545105,0.8073800121933395,0.3938967122777123,0.9542604684829712,0.7948033779468922,0.1641530116241299,glove-wiki-gigaword-300
