sentence1,sentence2,label,idx,label_ok,CosCls,EucCls,IcmCls,CosAvg,EucAvg,IcmAvg,CosSum,EucSum,IcmSum,CosF_ind,EucF_ind,IcmF_ind,CosF_joint,EucF_joint,IcmF_joint,CosF_inf,EucF_inf,IcmF_inf,model
A man with a hard hat is dancing.,A man wearing a hard hat is dancing.,5.0,0,1.0,1.000000238418579,1.0,0.16185904706299978,0.9900562167167664,0.8787844714840262,0.5403360605638182,0.9900563359260559,0.9355346723924273,0.0947309080489621,0.994773805141449,0.9251706598370764,0.3069453904816342,0.9974044561386108,0.9313883158770184,0.4779014688399482,0.9964953660964966,0.9276826623051313,0.3393838012593137,fasttext-wiki-news-subwords-300
A young child is riding a horse.,A child is riding a horse.,4.75,1,0.9500000000000001,0.5703542232513428,0.6962925623230543,0.089033328384685,0.9895815849304199,0.8463098291522245,0.6695047735469365,0.9895814657211304,0.9370271754271174,0.0747978924644007,0.9943714141845703,0.925170586439205,0.2599236204925893,0.9967820048332214,0.9260648549471934,0.40952061647751825,0.9956501722335815,0.9195360740527434,0.29041060730888707,fasttext-wiki-news-subwords-300
A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.,5.0,2,1.0,1.000000238418579,1.0,0.16185904706299978,0.8642901182174683,0.5281656199038429,0.4488043435524053,0.8642903566360474,0.721185744555982,0.10392436974190974,0.9053778052330017,0.6568458096665974,0.3065036662087902,0.9342818260192871,0.6550187805679438,0.4497729084129177,0.9215776324272156,0.6431453963470224,0.34042514088757114,fasttext-wiki-news-subwords-300
A woman is playing the guitar.,A man is playing guitar.,2.4000000953674316,3,0.48000001907348633,0.8119810223579407,0.7743344347617662,0.1240642780325551,0.9769166707992554,0.8140332091479914,0.46160745752776366,0.9769167900085449,0.9278578506234915,0.03986530724897164,0.9787675142288208,0.8752364879412191,0.18857226417098494,0.9814636707305908,0.8315263373986239,0.39227827289204165,0.9796131253242493,0.8447349450107295,0.2537656242548622,fasttext-wiki-news-subwords-300
A woman is playing the flute.,A man is playing a flute.,2.75,4,0.55,0.8119810223579407,0.7743344347617662,0.1240642780325551,0.9450775980949402,0.6666848418274236,0.5460852625897609,0.9450775980949402,0.8621272369726485,0.05459190028662346,0.9454784393310547,0.7803091909793037,0.21556852427566564,0.9520393013954163,0.726469470703256,0.3876160210338768,0.946956217288971,0.7442694033756206,0.262127283102207,fasttext-wiki-news-subwords-300
A woman is cutting an onion.,A man is cutting onions.,2.615000009536743,5,0.5230000019073486,0.8119810223579407,0.7743344347617662,0.1240642780325551,0.9210388660430908,0.6591592505688983,0.4837744440989237,0.9210388660430908,0.8592263576730756,0.041382036426422866,0.9185946583747864,0.7310327178350955,0.20159516568149913,0.9208658933639526,0.610663125259379,0.4272653932022137,0.9201276898384094,0.6656355904530983,0.2659984575133734,fasttext-wiki-news-subwords-300
A man is erasing a chalk board.,The man is erasing the chalk board.,5.0,6,1.0,1.000000238418579,1.0,0.16185904706299978,0.7571300268173218,0.41020705648877887,0.3182212595301156,0.7571300268173218,0.721185744555982,0.05000478444138512,0.8575705289840698,0.6399278939312683,0.19725677022031163,0.9282131195068359,0.6545058749184809,0.36189923897018383,0.9035207629203796,0.6409129365041797,0.2409251367764661,fasttext-wiki-news-subwords-300
A woman is carrying a boy.,A woman is carrying her baby.,2.3329999446868896,7,0.466599988937378,1.000000238418579,1.0,0.1286917650034186,0.9238603115081787,0.6146389572274933,0.5588461992129277,0.9238603115081787,0.8405989126697186,0.055610561219842536,0.9195771813392639,0.7356657676242968,0.21093835069432962,0.9237921237945557,0.6572987883361563,0.36861163648555273,0.919633150100708,0.6870918319938848,0.2502907209069427,fasttext-wiki-news-subwords-300
Three men are playing guitars.,Three men are on stage playing guitars.,3.75,8,0.75,1.0,1.0,0.19017773998673174,0.9352601766586304,0.737010449674339,0.2934229780784998,0.9352601766586304,0.8593997066351605,0.033556249031308424,0.9401335716247559,0.7904618781243027,0.14815502528348112,0.9624328017234802,0.775145259201758,0.3090110762924615,0.9501214623451233,0.7726478181803837,0.18986181753600095,fasttext-wiki-news-subwords-300
A woman peels a potato.,A woman is peeling a potato.,5.0,9,1.0,1.000000238418579,1.0,0.1286917650034186,0.9703922867774963,0.7457805653100853,0.7994547683641263,0.9703924059867859,0.9015043330815209,0.06298181620190038,0.9795454144477844,0.8629506335704248,0.227844405293593,0.985279381275177,0.8469797368504165,0.3588487946085349,0.9829124212265015,0.8483342608882788,0.24278288267399434,fasttext-wiki-news-subwords-300
